,Sphere radius,Magnification,Distance eyepiece-object,Distance objective-object,Distance objective-image,Tube size
0,0.5,10,0.7460035523978685,-13.325000000000001,0.7100355239786855,1.456039076376554
1,0.5,100,0.7460035523978685,-0.6575000000000001,0.3503552397868562,1.0963587921847247
2,0.5,500,0.7460035523978685,0.4684999999999999,-1.2482238010657192,-0.5022202486678506
3,0.5,1000,0.7460035523978685,0.60925,-3.2464476021314383,-2.50044404973357
4,0.5,2000,0.7460035523978685,0.6796249999999999,-7.242895204262876,-6.496891651865007
5,0.75,10,1.1160318866253323,-12.987499999999995,1.035318866253321,2.1513507528786535
6,0.75,100,1.1160318866253323,-0.28624999999999984,0.2281886625332151,1.3442205491585473
7,0.75,500,1.1160318866253323,0.84275,-3.3590566873339243,-2.243024800708592
8,0.75,1000,1.1160318866253323,0.983875,-7.8431133746678485,-6.727081488042517
9,0.75,2000,1.1160318866253323,1.0544375000000001,-16.8112267493357,-15.695194862710366
10,1.0,10,1.4840989399293287,-12.649999999999999,1.3409893992932862,2.825088339222615
11,1.0,100,1.4840989399293287,0.08500000000000003,-0.09010600706713785,1.393992932862191
12,1.0,500,1.4840989399293287,1.217,-6.45053003533569,-4.966431095406361
13,1.0,1000,1.4840989399293287,1.3585,-14.40106007067138,-12.91696113074205
14,1.0,2000,1.4840989399293287,1.4292500000000001,-30.302120141342765,-28.818021201413437
15,1.25,10,1.8502202643171806,-12.3125,1.627202643171806,3.477422907488987
16,1.25,100,1.8502202643171806,0.4562499999999999,-0.6029735682819382,1.2472466960352424
17,1.25,500,1.8502202643171806,1.59125,-10.514867841409691,-8.664647577092511
18,1.25,1000,1.8502202643171806,1.733125,-22.904735682819382,-21.054515418502202
19,1.25,2000,1.8502202643171806,1.8040625000000001,-47.68447136563877,-45.83425110132159
20,1.5,10,2.2144112478031635,-11.975000000000001,1.8941124780316345,4.108523725834798
21,1.5,100,2.2144112478031635,0.8275000000000001,-1.3088752196836557,0.9055360281195077
22,1.5,500,2.2144112478031635,1.9655,-15.544376098418278,-13.329964850615115
23,1.5,1000,2.2144112478031635,2.1077500000000002,-33.33875219683656,-31.124340949033396
24,1.5,2000,2.2144112478031635,2.178875,-68.92750439367312,-66.71309314586995
25,1.75,10,2.576687116564417,-11.637500000000001,2.141871165644172,4.718558282208589
26,1.75,100,2.576687116564417,1.19875,-2.206288343558282,0.3703987730061349
27,1.75,500,2.576687116564417,2.33975,-21.53144171779141,-18.95475460122699
28,1.75,1000,2.576687116564417,2.482375,-45.68788343558282,-43.111196319018404
29,1.75,2000,2.576687116564417,2.5536875,-94.00076687116564,-91.42407975460122
30,2.0,10,2.937062937062937,-11.3,2.370629370629371,5.307692307692308
31,2.0,100,2.937062937062937,1.57,-3.2937062937062938,-0.35664335664335667
32,2.0,500,2.937062937062937,2.714,-28.468531468531467,-25.53146853146853
33,2.0,1000,2.937062937062937,2.8569999999999998,-59.937062937062926,-56.999999999999986
34,2.0,2000,2.937062937062937,2.9284999999999997,-122.87412587412585,-119.93706293706292
35,2.25,10,3.2955536181342633,-10.9625,2.580536181342633,5.876089799476896
36,2.25,100,3.2955536181342633,1.94125,-4.56963818657367,-1.2740845684394064
37,2.25,500,3.2955536181342633,3.08825,-36.348190932868356,-33.05263731473409
38,2.25,1000,3.2955536181342633,3.2316249999999997,-76.0713818657367,-72.77582824760243
39,2.25,2000,3.2955536181342633,3.3033124999999997,-155.5177637314734,-152.22221011333914
40,2.5,10,3.652173913043478,-10.625,2.7717391304347827,6.423913043478261
41,2.5,100,3.652173913043478,2.3125,-6.032608695652173,-2.380434782608695
42,2.5,500,3.652173913043478,3.4625,-45.16304347826087,-41.51086956521739
43,2.5,1000,3.652173913043478,3.6062499999999997,-94.07608695652172,-90.42391304347824
44,2.5,2000,3.652173913043478,3.678125,-191.90217391304347,-188.25
