,Sphere radius,Magnification,Distance eyepiece-object,Distance objective-object,Distance objective-image,Tube size
0,0.5,10,0.754039497,78.26666667,4.215439856,4.969479354
1,0.5,100,0.754039497,11.42666667,6.154398564,6.908438061
2,0.5,500,0.754039497,5.485333333,14.77199282,15.52603232
3,0.5,1000,0.754039497,4.742666667,25.54398564,26.29802513
4,0.5,2000,0.754039497,4.371333333,47.08797127,47.84201077
5,0.75,10,1.134113411,53.37777778,4.324032403,5.458145815
6,0.75,100,1.134113411,8.937777778,7.240324032,8.374437444
7,0.75,500,1.134113411,4.987555556,20.20162016,21.33573357
8,0.75,1000,1.134113411,4.493777778,36.40324032,37.53735374
9,0.75,2000,1.134113411,4.246888889,68.80648065,69.94059406
10,1,10,1.516245487,40.93333333,4.433212996,5.949458484
11,1,100,1.516245487,7.693333333,8.332129964,9.848375451
12,1,500,1.516245487,4.738666667,25.66064982,27.17689531
13,1,1000,1.516245487,4.369333333,47.32129964,48.83754513
14,1,2000,1.516245487,4.184666667,90.64259928,92.15884477
15,1.25,10,1.900452489,33.46666667,4.542986425,6.443438914
16,1.25,100,1.900452489,6.946666667,9.429864253,11.33031674
17,1.25,500,1.900452489,4.589333333,31.14932127,33.04977376
18,1.25,1000,1.900452489,4.294666667,58.29864253,60.19909502
19,1.25,2000,1.900452489,4.147333333,112.5972851,114.4977376
20,1.5,10,2.286751361,28.48888889,4.653357532,6.940108893
21,1.5,100,2.286751361,6.448888889,10.53357532,12.82032668
22,1.5,500,2.286751361,4.489777778,36.66787659,38.95462795
23,1.5,1000,2.286751361,4.244888889,69.33575318,71.62250454
24,1.5,2000,2.286751361,4.122444444,134.6715064,136.9582577
25,1.75,10,2.675159236,24.93333333,4.76433121,7.439490446
26,1.75,100,2.675159236,6.093333333,11.6433121,14.31847134
27,1.75,500,2.675159236,4.418666667,42.21656051,44.89171975
28,1.75,1000,2.675159236,4.209333333,80.43312102,83.10828025
29,1.75,2000,2.675159236,4.104666667,156.866242,159.5414013
30,2,10,3.065693431,22.26666667,4.875912409,7.941605839
31,2,100,3.065693431,5.826666667,12.75912409,15.82481752
32,2,500,3.065693431,4.365333333,47.79562044,50.86131387
33,2,1000,3.065693431,4.182666667,91.59124088,94.65693431
34,2,2000,3.065693431,4.091333333,179.1824818,182.2481752
35,2.25,10,3.458371455,20.19259259,4.98810613,8.446477585
36,2.25,100,3.458371455,5.619259259,13.8810613,17.33943275
37,2.25,500,3.458371455,4.323851852,53.4053065,56.86367795
38,2.25,1000,3.458371455,4.161925926,102.810613,106.2689844
39,2.25,2000,3.458371455,4.080962963,201.621226,205.0795974
40,2.5,10,3.853211009,18.53333333,5.100917431,8.95412844
41,2.5,100,3.853211009,5.453333333,15.00917431,18.86238532
42,2.5,500,3.853211009,4.290666667,59.04587156,62.89908257
43,2.5,1000,3.853211009,4.145333333,114.0917431,117.9449541
44,2.5,2000,3.853211009,4.072666667,224.1834862,228.0366972
